server_id,user_id
tts-121888734,NYS:VST
tts-1195188,NYS:AIZ
tts-11874978,NYS:ES
tts-117308293,NYS:INVH
tts-11704179,NAS:ULTA
tts-112264524,NYS:LW
tts-11159809,NAS:LULU
tts-1106230,NYS:CMI
tts-10976627,NYS:TEL
tts-10884108,NYS:BX
tts-1076458,NAS:BIIB
tts-107229686,NYS:FTV
tts-104497775,NYS:SPGI
tts-1032559,NYS:CNC
tts-10254193,NYS:IVZ
tts-92502185,NAS:VIAV
tts-88339869,NAS:LIFE
tts-832500,NAS:LLTC
tts-832438,NAS:ISIL
tts-832326,NAS:GNTX
tts-832321,NAS:GMCR
tts-832280,NAS:FOSL
tts-832266,NAS:FLIR
tts-832265,NAS:FLEX
tts-832260,NAS:FISV
tts-832145,NAS:DISH
tts-832025,NAS:CERN
tts-832024,NAS:CEPH
tts-832022,NAS:CELG
tts-831987,NAS:BVSN
tts-831964,NAS:BMRN
tts-831920,NAS:ATML
tts-831895,NAS:ARBA
tts-831872,NAS:AMLN
tts-831866,NAS:ALXN
tts-830973,NAS:VTSS
tts-830736,NAS:TLAB
tts-830674,NAS:TEAM
tts-830564,NAS:SRCL
tts-830518,NAS:SNDK
tts-830484,NAS:SIRI
tts-830475,NAS:SIAL
tts-830459,NAS:SGEN
tts-830444,NAS:SEPR
tts-830379,NAS:RYAAY
tts-830271,NAS:QLGC
tts-830241,NAS:PTEN
tts-830145,NAS:PDCO
tts-830036,NAS:NUAN
tts-830020,NAS:NTES
tts-829989,NAS:NOVL
tts-829854,NAS:MXIM
tts-829808,NAS:MSTR
tts-829786,NAS:MRVL
tts-829749,NAS:MOLX
tts-829549,NAS:LOGI
tts-829543,NAS:LNCR
tts-829488,NAS:LAMR
tts-829281,NAS:ILMN
tts-829251,NAS:IDTI
tts-829161,NAS:HGSI
tts-829049,NAS:GENZ
tts-828820,NAS:ESRX
tts-828772,NAS:ENDP
tts-828516,NAS:CTXS
tts-828418,NAS:CPWR
tts-828397,NAS:COMS
tts-828385,NAS:CNXT
tts-828356,NAS:CMVT
tts-828342,NAS:CMCSK
tts-828255,NAS:CHKP
tts-828037,NAS:BRCM
tts-828036,NAS:BRCD
tts-827919,NAS:BBBY
tts-827879,NAS:ATVI
tts-827847,NAS:ASML
tts-827801,NAS:APOL
tts-827554,NAS:AMCC
tts-827511,NAS:ALTR
tts-827046,NAS:ADCT
tts-821304,NAS:XRAY
tts-821283,NAS:XLNX
tts-821236,NYS:RHT
tts-820920,NAS:URBN
tts-820309,NAS:SPLS
tts-819878,NAS:SANM
tts-819721,NAS:RNWK
tts-819653,NAS:RFMD
tts-818958,NAS:PPDI
tts-818770,NAS:PMCS
tts-818586,NAS:PETM
tts-818528,NAS:PDLI
tts-818398,NAS:PALM
tts-72890301,NAS:JD
tts-68058336,NYS:CIEN
tts-6191934,NAS:VMED
tts-60267672,NYS:PRGO
tts-54963811,NAS:STRZA
tts-53833112,NYS:INFY
tts-49260269,NAS:LVNTA
tts-48237584,NAS:CTRX
tts-48237583,NAS:SHPG
tts-4794202,NAS:ERIC
tts-45504153,NYS:TEVA
tts-43902240,NAS:FB
tts-41981429,NAS:SPLK
tts-3682397,NYS:AEO
tts-36804965,NAS:TRIP
tts-36299719,NYS:JOY
tts-36228692,NAS:VIAB
tts-33659182,NYS:LVLT
tts-3250167,NAS:LBTYK
tts-315092541,NAS:GRAL
tts-3138949,NAS:BIDU
tts-3103596,NAS:DISCA
tts-3055259,NAS:FMCN
tts-2995163,NAS:LEAP
tts-298814706,NAS:CA
tts-29400599,NAS:WFM
tts-291149473,NAS:DASH
tts-289578745,NAS:ARM
tts-2880955,NAS:FWLT
tts-232151446,NAS:RIVN
tts-231055357,NAS:GFS
tts-230505167,NAS:INKT
tts-228473225,NAS:CCEP
tts-224517911,NAS:LCID
tts-217036446,NAS:APP
tts-209398685,NAS:COMS~1
tts-205658684,NYS:LEAP
tts-203249662,NAS:AZN
tts-1839830,NAS:WCRX
tts-181197429,NAS:PRDO
tts-17917826,NAS:VOD
tts-17916214,NAS:MAT
tts-17914522,NAS:BMC
tts-1784188,NAS:LBTYA
tts-177780551,NAS:NLOK
tts-177780548,NAS:TCOM
tts-175090367,NYS:ADCT
tts-174238383,NAS:PTON
tts-174002103,NAS:DDOG
tts-16784810,NAS:MYL
tts-163839424,NAS:ZM
tts-16189359,NYS:MWW
tts-161284560,NAS:TFCFA
tts-161284558,NAS:TFCF
tts-15427298,NAS:DISCK
tts-146910073,NAS:PDD
tts-140322345,NAS:DOCU
tts-14011355,NAS:CA~1
tts-137190768,NAS:ZS
tts-137012693,NAS:QRTEA
tts-136266149,NAS:STCN
tts-133282628,NYS:QGEN
tts-130097863,NAS:ALTR~1
tts-129307390,NAS:MDB
tts-129193787,NYS:BB
tts-12035732,NAS:DTV
tts-120195246,NAS:OKTA
tts-120075582,NAS:VEON
tts-117027846,NAS:FWONK
tts-117027845,NAS:FWONA
tts-11317091,NAS:JAVA
tts-11222722,NAS:MELI
tts-111093294,NYS:DTV
tts-110325346,NAS:TTD
tts-104028642,NAS:BATRK
tts-104028640,NAS:BATRA
